area;ponto;long;lat;coleta;data;month
bbt;P10;-47.64837;-14.10383;3;04/02/2025;fev25
bbt;P10;-47.64837;-14.10383;4;04/06/2025;jun25
bbt;P10;-47.64837;-14.10383;5;04/09/2025;set25
bbt;P10;-47.64837;-14.10383;6;06/12/2025;dez25
bbt;P9;-47.64828;-14.1039;1;06/09/2024;set24
bbt;P9;-47.64828;-14.1039;2;26/11/2024;nov24
bbt;P9;-47.64828;-14.1039;3;04/02/2025;fev25
bbt;P9;-47.64828;-14.1039;4;04/06/2025;jun25
bbt;P9;-47.64828;-14.1039;5;04/09/2025;set25
bbt;P9;-47.64828;-14.1039;6;06/12/2025;dez25
bbt;P8;-47.64811;-14.104;1;06/09/2024;set24
bbt;P8;-47.64811;-14.104;2;26/11/2024;nov24
bbt;P8;-47.64811;-14.104;3;04/02/2025;fev25
bbt;P8;-47.64811;-14.104;4;04/06/2025;jun25
bbt;P8;-47.64811;-14.104;5;04/09/2025;set25
bbt;P8;-47.64811;-14.104;6;06/12/2025;dez25
bbt;P7;-47.64791;-14.1042;1;06/09/2024;set24
bbt;P7;-47.64791;-14.1042;2;26/11/2024;nov24
bbt;P7;-47.64791;-14.1042;3;04/02/2025;fev25
bbt;P7;-47.64791;-14.1042;4;04/06/2025;jun25
bbt;P7;-47.64791;-14.1042;5;04/09/2025;set25
bbt;P7;-47.64791;-14.1042;6;06/12/2025;dez25
bbt;P6;-47.64771;-14.10462;1;06/09/2024;set24
bbt;P6;-47.64771;-14.10462;2;26/11/2024;nov24
bbt;P6;-47.64771;-14.10462;3;04/02/2025;fev25
bbt;P6;-47.64771;-14.10462;4;04/06/2025;jun25
bbt;P6;-47.64771;-14.10462;5;04/09/2025;set25
bbt;P6;-47.64771;-14.10462;6;06/12/2025;dez25
bbt;P5;-47.64753;-14.10477;1;06/09/2024;set24
bbt;P5;-47.64753;-14.10477;2;26/11/2024;nov24
bbt;P5;-47.64753;-14.10477;3;04/02/2025;fev25
bbt;P5;-47.64753;-14.10477;4;04/06/2025;jun25
bbt;P5;-47.64753;-14.10477;5;04/09/2025;set25
bbt;P5;-47.64753;-14.10477;6;06/12/2025;dez25
bbt;P4;-47.64791;-14.10533;1;06/09/2024;set24
bbt;P4;-47.64791;-14.10533;2;26/11/2024;nov24
bbt;P4;-47.64791;-14.10533;3;04/02/2025;fev25
bbt;P4;-47.64791;-14.10533;4;04/06/2025;jun25
bbt;P4;-47.64791;-14.10533;5;04/09/2025;set25
bbt;P4;-47.64791;-14.10533;6;06/12/2025;dez25
bbt;P3;-47.64637;-14.10608;1;06/09/2024;set24
bbt;P3;-47.64637;-14.10608;2;26/11/2024;nov24
bbt;P3;-47.64637;-14.10608;3;04/02/2025;fev25
bbt;P3;-47.64637;-14.10608;4;04/06/2025;jun25
bbt;P3;-47.64637;-14.10608;5;04/09/2025;set25
bbt;P3;-47.64637;-14.10608;6;06/12/2025;dez25
cr;P10;-47.74233;-14.2728;1;12/09/2024;set24
cr;P10;-47.74233;-14.2728;2;24/11/2024;nov24
cr;P10;-47.74233;-14.2728;3;05/02/2025;fev25
cr;P10;-47.74233;-14.2728;4;07/06/2025;jun25
cr;P10;-47.74233;-14.2728;5;03/09/2025;set25
cr;P10;-47.74233;-14.2728;6;07/12/2025;dez25
cr;P9;-47.74237;-14.27295;1;12/09/2024;set24
cr;P9;-47.74237;-14.27295;2;24/11/2024;nov24
cr;P9;-47.74237;-14.27295;3;05/02/2025;fev25
cr;P9;-47.74237;-14.27295;4;07/06/2025;jun25
cr;P9;-47.74237;-14.27295;5;03/09/2025;set25
cr;P9;-47.74237;-14.27295;6;07/12/2025;dez25
cr;P8;-47.7424;-14.27316;1;12/09/2024;set24
cr;P8;-47.7424;-14.27316;2;24/11/2024;nov24
cr;P8;-47.7424;-14.27316;3;05/02/2025;fev25
cr;P8;-47.7424;-14.27316;4;07/06/2025;jun25
cr;P8;-47.7424;-14.27316;5;03/09/2025;set25
cr;P8;-47.7424;-14.27316;6;07/12/2025;dez25
cr;P7;-47.74238;-14.27336;1;12/09/2024;set24
cr;P7;-47.74238;-14.27336;2;24/11/2024;nov24
cr;P7;-47.74238;-14.27336;3;05/02/2025;fev25
cr;P7;-47.74238;-14.27336;4;07/06/2025;jun25
cr;P7;-47.74238;-14.27336;5;03/09/2025;set25
cr;P7;-47.74238;-14.27336;6;07/12/2025;dez25
cr;P6;-47.74242;-14.27355;1;12/09/2024;set24
cr;P6;-47.74242;-14.27355;2;24/11/2024;nov24
cr;P6;-47.74242;-14.27355;3;05/02/2025;fev25
cr;P6;-47.74242;-14.27355;4;07/06/2025;jun25
cr;P6;-47.74242;-14.27355;5;03/09/2025;set25
cr;P6;-47.74242;-14.27355;6;07/12/2025;dez25
cr;P5;-47.74245;-14.27379;1;12/09/2024;set24
